    INFO: 2025-04-01 19:20:41,411:               log.py:   20: Logging to C:\Users\ADMIN\exam-generator\mdpdf.log
   DEBUG: 2025-04-01 19:20:41,412:               cli.py:  103: __temp.md
    INFO: 2025-04-01 19:20:41,413:         converter.py:   14: __temp.md
   DEBUG: 2025-04-01 19:20:41,419:      pdf_renderer.py:  470: printSegment: 1.   What is the value of 7 + 5 × 2?
   DEBUG: 2025-04-01 19:20:41,423:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,426:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,429:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,431:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,431:      pdf_renderer.py:  470: printSegment:  14
   DEBUG: 2025-04-01 19:20:41,432:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,432:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,433:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,433:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,434:      pdf_renderer.py:  470: printSegment:  19
   DEBUG: 2025-04-01 19:20:41,434:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,434:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,435:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,435:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,436:      pdf_renderer.py:  470: printSegment:  18
   DEBUG: 2025-04-01 19:20:41,436:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,436:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,437:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,437:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,438:      pdf_renderer.py:  470: printSegment:  16
   DEBUG: 2025-04-01 19:20:41,441:      pdf_renderer.py:  470: printSegment: 2.   What is the area of a rectangle with a length of 10 units and a width of 5 units?
   DEBUG: 2025-04-01 19:20:41,441:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,442:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,442:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,443:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,444:      pdf_renderer.py:  470: printSegment:  50 square units
   DEBUG: 2025-04-01 19:20:41,444:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,445:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,445:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,446:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,446:      pdf_renderer.py:  470: printSegment:  50 square units
   DEBUG: 2025-04-01 19:20:41,447:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,447:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,448:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,449:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,449:      pdf_renderer.py:  470: printSegment:  15 square units
   DEBUG: 2025-04-01 19:20:41,450:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,450:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,451:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,451:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,452:      pdf_renderer.py:  470: printSegment:  25 square units
   DEBUG: 2025-04-01 19:20:41,453:      pdf_renderer.py:  470: printSegment: 3.   If x = 3, what is the value of 2x² + 5?
   DEBUG: 2025-04-01 19:20:41,454:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,454:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,455:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,456:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,457:      pdf_renderer.py:  470: printSegment:  8
   DEBUG: 2025-04-01 19:20:41,458:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,458:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,459:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,459:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,460:      pdf_renderer.py:  470: printSegment:  20
   DEBUG: 2025-04-01 19:20:41,460:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,461:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,461:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,462:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,463:      pdf_renderer.py:  470: printSegment:  23
   DEBUG: 2025-04-01 19:20:41,464:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,464:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,465:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,466:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,466:      pdf_renderer.py:  470: printSegment:  16
   DEBUG: 2025-04-01 19:20:41,467:      pdf_renderer.py:  470: printSegment: 4.   What is the solution to the equation 3x - 7 = 11?
   DEBUG: 2025-04-01 19:20:41,467:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,468:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,468:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,469:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,470:      pdf_renderer.py:  470: printSegment:  6
   DEBUG: 2025-04-01 19:20:41,471:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,472:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,473:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,473:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,474:      pdf_renderer.py:  470: printSegment:  5
   DEBUG: 2025-04-01 19:20:41,474:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,475:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,475:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,476:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,476:      pdf_renderer.py:  470: printSegment:  4
   DEBUG: 2025-04-01 19:20:41,477:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,477:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,478:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,478:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,480:      pdf_renderer.py:  470: printSegment:  7
   DEBUG: 2025-04-01 19:20:41,480:      pdf_renderer.py:  470: printSegment: 5.   Which of the following is a prime number?
   DEBUG: 2025-04-01 19:20:41,481:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,481:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,482:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,482:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,483:      pdf_renderer.py:  470: printSegment:  15
   DEBUG: 2025-04-01 19:20:41,484:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,484:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,485:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,485:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,486:      pdf_renderer.py:  470: printSegment:  21
   DEBUG: 2025-04-01 19:20:41,487:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,487:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,488:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,489:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,490:      pdf_renderer.py:  470: printSegment:  13
   DEBUG: 2025-04-01 19:20:41,491:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,492:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,493:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,494:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,494:      pdf_renderer.py:  470: printSegment:  9
   DEBUG: 2025-04-01 19:20:41,495:      pdf_renderer.py:  470: printSegment: 6.   What is the value of the expression 5³?
   DEBUG: 2025-04-01 19:20:41,496:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,496:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,497:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,498:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,498:      pdf_renderer.py:  470: printSegment:  15
   DEBUG: 2025-04-01 19:20:41,499:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,499:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,500:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,501:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,501:      pdf_renderer.py:  470: printSegment:  25
   DEBUG: 2025-04-01 19:20:41,502:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,503:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,503:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,504:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,504:      pdf_renderer.py:  470: printSegment:  125
   DEBUG: 2025-04-01 19:20:41,505:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,506:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,506:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,507:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,507:      pdf_renderer.py:  470: printSegment:  100
   DEBUG: 2025-04-01 19:20:41,508:      pdf_renderer.py:  470: printSegment: 7.   What is the next term in the sequence: 2, 4, 8, 16...?
   DEBUG: 2025-04-01 19:20:41,509:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,510:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,510:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,511:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,511:      pdf_renderer.py:  470: printSegment:  20
   DEBUG: 2025-04-01 19:20:41,512:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,513:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,513:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,514:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,514:      pdf_renderer.py:  470: printSegment:  32
   DEBUG: 2025-04-01 19:20:41,515:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,516:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,516:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,517:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,519:      pdf_renderer.py:  470: printSegment:  24
   DEBUG: 2025-04-01 19:20:41,519:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,520:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,521:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,521:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,522:      pdf_renderer.py:  470: printSegment:  64
   DEBUG: 2025-04-01 19:20:41,523:      pdf_renderer.py:  470: printSegment: 8.   What is the slope of the line represented by the equation y = 2x + 3?
   DEBUG: 2025-04-01 19:20:41,524:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,524:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,525:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,526:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,526:      pdf_renderer.py:  470: printSegment:  3
   DEBUG: 2025-04-01 19:20:41,527:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,528:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,528:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,529:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,530:      pdf_renderer.py:  470: printSegment:  2
   DEBUG: 2025-04-01 19:20:41,530:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,531:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,531:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,532:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,533:      pdf_renderer.py:  470: printSegment:  1
   DEBUG: 2025-04-01 19:20:41,534:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,534:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,535:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,536:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,536:      pdf_renderer.py:  470: printSegment:  0
   DEBUG: 2025-04-01 19:20:41,537:      pdf_renderer.py:  470: printSegment: 9.   What is the value of π (pi) approximately?
   DEBUG: 2025-04-01 19:20:41,542:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,543:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,544:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,545:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,546:      pdf_renderer.py:  470: printSegment:  3.14
   DEBUG: 2025-04-01 19:20:41,547:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,548:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,549:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,550:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,551:      pdf_renderer.py:  470: printSegment:  3.41
   DEBUG: 2025-04-01 19:20:41,552:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2025-04-01 19:20:41,553:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2025-04-01 19:20:41,554:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2025-04-01 19:20:41,554:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2025-04-01 19:20:41,555:      pdf_renderer.py:  470: printSegment:  3.00
   DEBUG: 2025-04-01 19:20:41,556:      pdf_renderer.py:  470: printSegment: l
